Tag,Label,Index Category,Index value
#hoursholyspirit_lauds,hours holy spirit lauds,text_t,hours of the holy spirit
#hoursholyspirit_lauds,hours holy spirit lauds,text_t,hours of christ crucified lauds
#hoursholyspirit_matins,hours holy spirit matins,text_t,hours of the holy spirit
#hoursholyspirit_matins,hours holy spirit matins,text_t,hours of christ crucified matins
#hoursholyspirit_none,hours holy spirit none,text_t,hours of the holy spirit
#hoursholyspirit_none,hours holy spirit none,text_t,hours of christ crucified none
#hoursholyspirit_prime,hours holy spirit prime,text_t,hours of the holy spirit
#hoursholyspirit_prime,hours holy spirit prime,text_t,hours of christ crucified prime
#hoursholyspirit_sext,hours holy spirit sext,text_t,hours of the holy spirit
#hoursholyspirit_sext,hours holy spirit sext,text_t,hours of christ crucified sext
#hoursholyspirit_terce,hours holy spirit terce,text_t,hours of the holy spirit
#hoursholyspirit_terce,hours holy spirit terce,text_t,hours of christ crucified terce
#hoursholyspirit_vespers,hours holy spirit vespers,text_t,hours of the holy spirit
#hoursholyspirit_vespers,hours holy spirit vespers,text_t,hours of christ crucified vespers
#hoursvirgin_compline,hours virgin compline,text_t,hours of the virgin
#hoursvirgin_compline,hours virgin compline,text_t,hours of the virgin compline
#hoursvirgin_lauds,hours virgin lauds,text_t,hours of the virgin
#hoursvirgin_lauds,hours virgin lauds,text_t,hours of the virgin lauds
#hoursvirgin_matins,hours virgin matins,text_t,hours of the virgin
#hoursvirgin_matins,hours virgin matins,text_t,hours of the virgin matins
#hoursvirgin_none,hours virgin none,text_t,hours of the virgin
#hoursvirgin_none,hours virgin none,text_t,hours of the virgin none
#hoursvirgin_prime,hours virgin prime,text_t,hours of the virgin
#hoursvirgin_prime,hours virgin prime,text_t,hours of the virgin prime
#hoursvirgin_sext,hours virgin sext,text_t,hours of the virgin
#hoursvirgin_sext,hours virgin sext,text_t,hours of the virgin sext 
#hoursvirgin_terce,hours virgin terce,text_t,hours of the virgin
#hoursvirgin_terce,hours virgin terce,text_t,hours of the virgin terce
#hoursvirgin_vespers,hours virgin vespers,text_t,hours of the virgin
#hoursvirgin_vespers,hours virgin vespers,text_t,hours of the virgin vespers
#hymn,hymn,text_t,hymn
#I,I,letter_form_t,I
#i,i,letter_form_t,i
#illuminated,illuminated,decoration_t,illuminated
#illumination,illumination,decoration_t,illumination
#image,image,decoration_t,image
#imageofchrist,imageofchrist,subjects_and_themes_t,imageofchrist
#imageofmary,imageofmary,subjects_and_themes_t,imageofmary
#infancy_adoration,infancy adoration,subjects_and_themes_t,infancy adoration
#infancy_annunciation,infancy annunciation,subjects_and_themes_t,infancy annunciation
#infancy_circumcision,infancy circumcision,subjects_and_themes_t,infancy circumcision
#infancy_flightintoegypt,infancy flightintoegypt,subjects_and_themes_t,infancy flightintoegypt
#infancy_massacreofinnocents,infancy massacre of innocents,subjects_and_themes_t,infancy massacreofinnocents
#infancy_nativity,infancy nativity,subjects_and_themes_t,infancy nativity
#infancy_shepherds,infancy shepherds,subjects_and_themes_t,infancy shepherds
#infancy_visitation,infancy visitation,subjects_and_themes_t,infancy visitation
#inhabited,inhabited,decoration_t,inhabited
#initial,initial,codicological_feature_t,initial
#initial_A,initial A,codicological_feature_t,"initial ""a"""
#initial_A,,codicological_feature_t,initial
#initial_a,initial a,codicological_feature_t,"initial ""a"""
#initial_a,,codicological_feature_t,initial
#initial_A,,letter_form_t,a
#initial_a,,letter_form_t,a
#initial_b,initial b,codicological_feature_t,"initial ""b"""
#initial_b,,codicological_feature_t,initial
#initial_b,,letter_form_t,b
#initial_D,initial D,codicological_feature_t,"initial ""d"""
#initial_D,,codicological_feature_t,initial
#initial_d,initial d,codicological_feature_t,"initial ""d"""
#initial_d,,codicological_feature_t,initial
#initial_D,,letter_form_t,d
#initial_d,,letter_form_t,c
#initial_KL,initial KL,codicological_feature_t,"initial ""KL"""
#initial_KL,,codicological_feature_t,initial
#initial_KL,,letter_form_t,kl
#initial_L,initial L,codicological_feature_t,"initial ""l"""
#initial_L,,codicological_feature_t,initial
#initial_L,,letter_form_t,l
#initial_m,initial m,codicological_feature_t,"initial ""m"""
#initial_m,,codicological_feature_t,initial
#initial_m,,letter_form_t,m
#initial_O,initial O,codicological_feature_t,"initial ""o"""
#initial_O,,codicological_feature_t,initial
#initial_o,initial o,codicological_feature_t,"initial ""o"""
#initial_o,,codicological_feature_t,initial
#initial_O,,letter_form_t,o
#initial_o,,letter_form_t,o
#initial_p,initial p,codicological_feature_t,"initial ""p"""
#initial_p,,codicological_feature_t,initial
#initial_p,,letter_form_t,p
#initial_s,initial s,codicological_feature_t,"initial ""s"""
#initial_s,,codicological_feature_t,initial
#initial_s,,letter_form_t,s
#initial_t,initial t,codicological_feature_t,"initial ""t"""
#initial_t,,codicological_feature_t,initial
#initial_t,,letter_form_t,f
#initial_U,initial U,codicological_feature_t,"initial ""u"""
#initial_U,,codicological_feature_t,initial
#initial_u,initial u,codicological_feature_t,"initial ""u"""
#initial_u,,codicological_feature_t,initial
#initial_U,,letter_form_t,u
#initial_u,,letter_form_t,u
#interlace,interlace,codicological_feature_t,interlace
#interlinear,interlinear,codicological_feature_t,interlinear
#intext,intext,codicological_feature_t,intext
#intextblock,intextblock,codicological_feature_t,intextblock
#james,james,subjects_and_themes_t,james
#jeromeinstudy,jeromeinstudy,subjects_and_themes_t,jeromeinstudy
#jeromepsalter,jeromepsalter,subjects_and_themes_t,jeromepsalter
#john,john,subjects_and_themes_t,john
#john_evangelist,john evangelist,subjects_and_themes_t,john evangelist
#johnevangelist,johnevangelist,subjects_and_themes_t,johnevangelist
#johnthebaptist,johnthebaptist,subjects_and_themes_t,johnthebaptist
#jude,jude,subjects_and_themes_t,jude
#k,k,letter_form_t,k
#kingdavid,King David,subjects_and_themes_t,King David
#L,L,letter_form_t,L
#l,l,letter_form_t,l
#labor_april,labor april,subjects_and_themes_t,labor april
#labor_april,labor april,subjects_and_themes_t,labor of the month
#labor_august,labor august,subjects_and_themes_t,labor august
#labor_august,labor august,subjects_and_themes_t,labor of the month
#labor_december,labor december,subjects_and_themes_t,labor december
#labor_december,labor december,subjects_and_themes_t,labor of the month
#labor_february,labor february,subjects_and_themes_t,labor february
#labor_february,labor february,subjects_and_themes_t,labor of the month
#labor_january,labor january,subjects_and_themes_t,labor january
#labor_january,labor january,subjects_and_themes_t,labor of the month
#labor_july,labor july,subjects_and_themes_t,labor july
#labor_july,labor july,subjects_and_themes_t,labor of the month
#labor_june,labor june,subjects_and_themes_t,labor june
#labor_june,labor june,subjects_and_themes_t,labor of the month
#labor_march,labor march,subjects_and_themes_t,labor march
#labor_march,labor march,subjects_and_themes_t,labor of the month
#labor_may,labor may,subjects_and_themes_t,labor may
#labor_may,labor may,subjects_and_themes_t,labor of the month
#labor_november,labor november,subjects_and_themes_t,labor november
#labor_november,labor november,subjects_and_themes_t,labor of the month
#labor_october,labor october,subjects_and_themes_t,labor october
#labor_october,labor october,subjects_and_themes_t,labor of the month
#languagechange_latin,languagechange latin,,language change (latin)
#languagechange_latin,,,language change
#languagechange_latin,,,latin 
#lastjudgment,lastjudgment,subjects_and_themes_t,lastjudgment
#lastrites,lastrites,subjects_and_themes_t,lastrites
#lawrence,lawrence,subjects_and_themes_t,lawrence
#linefiller,linefiller,codicological_feature_t,linefiller
#litany,litany,text_content_t,litany
#m,m,letter_form_t,m
#magdalene,magdalene,subjects_and_themes_t,magdalene
#magi,magi,subjects_and_themes_t,magi
#maragaret,maragaret,subjects_and_themes_t,maragaret
#margaret,margaret,subjects_and_themes_t,margaret
#marginal,marginal,codicological_feature_t,marginal
#mary,mary,subjects_and_themes_t,mary
#marymagdalene,marymagdalene,subjects_and_themes_t,marymagdalene
#matthew,matthew,subjects_and_themes_t,matthew
#mercythrone,mercythrone,subjects_and_themes_t,mercythrone
#michael,michael,subjects_and_themes_t,michael
#n,n,letter_form_t,n
#nativity,nativity,subjects_and_themes_t,nativity
#nicholas,nicholas,subjects_and_themes_t,nicholas
#O,O,letter_form_t,O
#o,o,letter_form_t,o
#officeofthedead,office of the dead,text_t,office of the dead
#officeofthedead_matins,office of the dead matins,text_t,office of the dead
#officeofthedead_matins,office of the dead matins,,matins
#officeofthedead_vespers,office of the dead vespers,text_t,office of the dead
#officeofthedead_vespers,office of the dead vespers,,vespers
#ointemerata,ointemerata,text_t,ointemerata
#ownership,ownership,codicological_feature_t,ownership
#p,p,letter_form_t,p
#paraph,paraph,codicological_feature_t,paraph
#paraph_blue, ,codicological_color_t,blue
#paraph_blue,paraph blue,codicological_feature_t,paraph blue
#paraph_blue,,codicological_feature_t,paraph
#paraph_red,,codicological_color_t,red
#paraph_red,paraph red,codicological_feature_t,paraph red
#paraph_red,,codicological_feature_t,paraph
#passion_agony,passion agony,subjects_and_themes_t,passion agony
#passion_carryingcross,passion carryingcross,subjects_and_themes_t,passion carryingcross
#passion_carryingcross,passion carryingcross,subjects_and_themes_t,passion cycle
#passion_carryingcross,,subjects_and_themes_t,carrying of the cross
#passion_crucifixion,passion crucifixion,subjects_and_themes_t,passion crucifixion
#passion_crucifixion,,subjects_and_themes_t,passion cycle
