Tag,Label,Index Category,Index value
#initial_d,initial d,codicological_feature_t,initial d
#initial_m,initial m,codicological_feature_t,initial m
#initial_o,initial o,codicological_feature_t,initial o
#initial_p,initial p,codicological_feature_t,initial p
#initial_s,initial s,codicological_feature_t,initial s
#initial_t,initial t,codicological_feature_t,initial t
#initial_u,initial u,codicological_feature_t,initial u
#interlace,interlace,codicological_feature_t,interlace
#interlinear,interlinear,codicological_feature_t,interlinear
#intext,intext,codicological_feature_t,intext
#intextblock,intextblock,codicological_feature_t,intextblock
#james,james,,james
#jeromeinstudy,jeromeinstudy,,jeromeinstudy
#jeromepsalter,jeromepsalter,,jeromepsalter
#john,john,,john
#john_evangelist,john evangelist,,john evangelist
#johnevangelist,johnevangelist,,johnevangelist
#johnthebaptist,johnthebaptist,,johnthebaptist
#jude,jude,,jude
#k,k,letter_form_t,k
#kingdavid,King David,decoration_t,King David
#l,l,letter_form_t,l
#labor_april,labor april,decoration_t,labor april
#labor_august,labor august,decoration_t,labor august
#labor_december,labor december,decoration_t,labor december
#labor_february,labor february,decoration_t,labor february
#labor_january,labor january,decoration_t,labor january
#labor_july,labor july,decoration_t,labor july
#labor_june,labor june,decoration_t,labor june
#labor_march,labor march,decoration_t,labor march
#labor_may,labor may,decoration_t,labor may
#labor_november,labor november,decoration_t,labor november
#labor_october,labor october,decoration_t,labor october
#languagechange_latin,languagechange latin,,languagechange latin
#lastjudgment,lastjudgment,,lastjudgment
#lastrites,lastrites,,lastrites
#lawrence,lawrence,,lawrence
#linefiller,linefiller,,linefiller
#litany,litany,text_content_t,litany
#m,m,letter_form_t,m
#magdalene,magdalene,,magdalene
#magi,magi,,magi
#maragaret,maragaret,,maragaret
#margaret,margaret,,margaret
#marginal,marginal,,marginal
#mary,mary,,mary
#marymagdalene,marymagdalene,,marymagdalene
#matthew,matthew,,matthew
#mercythrone,mercythrone,,mercythrone
#michael,michael,,michael
#n,n,letter_form_t,n
#nativity,nativity,,nativity
#nicholas,nicholas,,nicholas
#o,o,letter_form_t,o
#officeofthedead,officeofthedead,,officeofthedead
#officeofthedead_matins,officeofthedead matins,,officeofthedead matins
#officeofthedead_vespers,officeofthedead vespers,,officeofthedead vespers
#ointemerata,ointemerata,,ointemerata
#ownership,ownership,,ownership
#p,p,letter_form_t,p
#paraph,paraph,codicological_feature_t,paraph
#paraph_blue,paraph blue,codicological_feature_t,paraph blue
#paraph_blue,,codicological_feature_t,paraph
#paraph_red,paraph red,codicological_feature_t,paraph red
#paraph_red,,codicological_feature_t,paraph
#passion_agony,passion agony,,passion agony
#passion_carryingcross,passion carryingcross,,passion carryingcross
#passion_crucifixion,passion crucifixion,,passion crucifixion
#passion_deposition,passion deposition,,passion deposition
#passion_entombment,passion entombment,,passion entombment
#passion_flagellation,passion flagellation,,passion flagellation
#passion_pilate,passion pilate,,passion pilate
#passionpsalms,passionpsalms,,passionpsalms
#paul,paul,,paul
#peace,peace,,peace
#penitentialpsalms,penitentialpsalms,,penitentialpsalms
#pentecost,pentecost,,pentecost
#pentrial,pentrial,,pentrial
#peter,peter,,peter
#peterandpaul,peterandpaul,,peterandpaul
#prayer,prayer,,prayer
#prayertothecross,prayertothecross,,prayertothecross
#presentationofmary,presentationofmary,,presentationofmary
#psalm,psalm,,psalm
#psalm6,psalm6,,psalm6
#psalm_38,psalm 38,,psalm 38
#psalm_gradual,psalm gradual,,psalm gradual
#psalm_penitential,psalm penitential,,psalm penitential
#psalmsofthepassion,psalmsofthepassion,,psalmsofthepassion
#q,q,letter_form_t,q
#quire_1,quire 1,,quire 1
#quire_10,quire 10,,quire 10
#quire_11,quire 11,,quire 11
#quire_12,quire 12,,quire 12
#quire_13,quire 13,,quire 13
#quire_14,quire 14,,quire 14
#quire_15,quire 15,,quire 15
#quire_17,quire 17,,quire 17
#quire_18,quire 18,,quire 18
#quire_19,quire 19,,quire 19
#quire_2,quire 2,,quire 2
#quire_3,quire 3,,quire 3
#quire_4,quire 4,,quire 4
#quire_5,quire 5,,quire 5
#quire_6,quire 6,,quire 6
#quire_7,quire 7,,quire 7
#quire_8,quire 8,,quire 8
#quire_9,quire 9,,quire 9
#quiresignature,quire signature,,quire signature
#raisingofsouls,raising of souls,,raising of souls
#red,red,,red
#resurrection,resurrection,,resurrection
#rose,rose,codicological_color_t,rose
#rubrication_box,rubrication box,,rubrication box
